Desci4,HS-2digit,HS-4digit,HS-6digit
D01,1,101,10121
D01,1,101,10129
D01,1,101,10130
D01,1,101,10190
D01,1,102,10221
D01,1,102,10229
D01,1,102,10231
D01,1,102,10239
D01,1,102,10290
D01,1,103,10310
D01,1,103,10391
D01,1,103,10392
D01,1,104,10410
D01,1,104,10420
D01,1,105,10511
D01,1,105,10512
D01,1,105,10513
D01,1,105,10514
D01,1,105,10515
D01,1,105,10594
D01,1,105,10599
D01,1,106,10611
D01,1,106,10612
D01,1,106,10613
D01,1,106,10614
D01,1,106,10619
D01,1,106,10631
D01,1,106,10632
D01,1,106,10633
D01,1,106,10639
D01,1,106,10641
D01,1,106,10649
D01,1,106,10690
D01,3,307,30760
D01,4,401,40120
D01,4,401,40140
D01,4,401,40150
D01,4,407,40711
D01,4,407,40719
D01,4,407,40721
D01,4,407,40729
D01,4,407,40790
D01,4,409,40900
D01,4,410,41000
D01,5,511,51110
D01,5,511,51199
D01,6,601,60110
D01,6,601,60120
D01,6,602,60210
D01,6,602,60220
D01,6,602,60230
D01,6,602,60240
D01,6,602,60290
D01,6,603,60311
D01,6,603,60312
D01,6,603,60313
D01,6,603,60314
D01,6,603,60315
D01,6,603,60319
D01,6,603,60390
D01,7,701,70110
D01,7,701,70190
D01,7,702,70200
D01,7,703,70310
D01,7,703,70320
D01,7,703,70390
D01,7,704,70410
D01,7,704,70420
D01,7,704,70490
D01,7,705,70511
D01,7,705,70519
D01,7,705,70521
D01,7,705,70529
D01,7,706,70610
D01,7,706,70690
D01,7,707,70700
D01,7,708,70810
D01,7,708,70820
D01,7,708,70890
D01,7,709,70920
D01,7,709,70930
D01,7,709,70940
D01,7,709,70951
D01,7,709,70959
D01,7,709,70960
D01,7,709,70970
D01,7,709,70991
D01,7,709,70992
D01,7,709,70993
D01,7,709,70999
D01,7,713,71310
D01,7,713,71320
D01,7,713,71331
D01,7,713,71332
D01,7,713,71333
D01,7,713,71334
D01,7,713,71335
D01,7,713,71339
D01,7,713,71340
D01,7,713,71350
D01,7,713,71360
D01,7,713,71390
D01,7,714,71410
D01,7,714,71420
D01,7,714,71430
D01,7,714,71440
D01,7,714,71450
D01,7,714,71490
D01,8,801,80111
D01,8,801,80112
D01,8,801,80119
D01,8,801,80121
D01,8,801,80131
D01,8,802,80211
D01,8,802,80221
D01,8,802,80231
D01,8,802,80241
D01,8,802,80242
D01,8,802,80251
D01,8,802,80252
D01,8,802,80261
D01,8,802,80262
D01,8,802,80270
D01,8,802,80280
D01,8,802,80290
D01,8,803,80310
D01,8,803,80390
D01,8,804,80410
D01,8,804,80420
D01,8,804,80430
D01,8,804,80440
D01,8,804,80450
D01,8,805,80510
D01,8,805,80520
D01,8,805,80540
D01,8,805,80550
D01,8,805,80590
D01,8,806,80610
D01,8,807,80711
D01,8,807,80719
D01,8,807,80720
D01,8,808,80810
D01,8,808,80830
D01,8,808,80840
D01,8,809,80910
D01,8,809,80921
D01,8,809,80929
D01,8,809,80930
D01,8,809,80940
D01,8,810,81010
D01,8,810,81020
D01,8,810,81030
D01,8,810,81040
D01,8,810,81050
D01,8,810,81060
D01,8,810,81070
D01,8,810,81090
D01,9,901,90111
D01,9,902,90220
D01,9,902,90240
D01,9,903,90300
D01,9,904,90411
D01,9,904,90421
D01,9,904,90422
D01,9,905,90510
D01,9,905,90520
D01,9,906,90611
D01,9,906,90619
D01,9,907,90710
D01,9,907,90720
D01,9,908,90811
D01,9,908,90812
D01,9,908,90821
D01,9,908,90822
D01,9,908,90831
D01,9,908,90832
D01,9,909,90921
D01,9,909,90922
D01,9,909,90931
D01,9,909,90932
D01,9,909,90961
D01,9,909,90962
D01,9,910,91011
D01,9,910,91012
D01,9,910,91020
D01,9,910,91030
D01,9,910,91091
D01,9,910,91099
D01,10,1001,100111
D01,10,1001,100119
D01,10,1001,100191
D01,10,1001,100199
D01,10,1002,100210
D01,10,1002,100290
D01,10,1003,100310
D01,10,1003,100390
D01,10,1004,100410
D01,10,1004,100490
D01,10,1005,100510
D01,10,1005,100590
D01,10,1006,100610
D01,10,1007,100710
D01,10,1007,100790
D01,10,1008,100810
D01,10,1008,100821
D01,10,1008,100829
D01,10,1008,100830
D01,10,1008,100840
D01,10,1008,100850
D01,10,1008,100860
D01,10,1008,100890
D01,12,1201,120110
D01,12,1201,120190
D01,12,1202,120241
D01,12,1203,120300
D01,12,1204,120400
D01,12,1205,120510
D01,12,1205,120590
D01,12,1206,120600
D01,12,1207,120710
D01,12,1207,120721
D01,12,1207,120729
D01,12,1207,120730
D01,12,1207,120740
D01,12,1207,120750
D01,12,1207,120760
D01,12,1207,120770
D01,12,1207,120791
D01,12,1207,120799
D01,12,1209,120910
D01,12,1209,120921
D01,12,1209,120922
D01,12,1209,120923
D01,12,1209,120924
D01,12,1209,120925
D01,12,1209,120929
D01,12,1209,120930
D01,12,1209,120991
D01,12,1209,120999
D01,12,1210,121010
D01,12,1210,121020
D01,12,1211,121120
D01,12,1211,121130
D01,12,1211,121140
D01,12,1211,121190
D01,12,1212,121291
D01,12,1212,121292
D01,12,1212,121293
D01,12,1212,121294
D01,12,1212,121299
D01,12,1213,121300
D01,12,1214,121490
D01,13,1302,130211
D01,14,1401,140110
D01,14,1401,140120
D01,14,1401,140190
D01,14,1404,140490
D01,15,1521,152190
D01,18,1801,180100
D01,24,2401,240110
D01,31,3101,310100
D01,40,4001,400110
D01,40,4001,400121
D01,40,4001,400122
D01,40,4001,400129
D01,41,4103,410320
D01,43,4301,430110
D01,43,4301,430130
D01,43,4301,430160
D01,43,4301,430180
D01,43,4301,430190
D01,50,5001,500100
D01,51,5101,510111
D01,51,5101,510119
D01,51,5102,510211
D01,51,5102,510219
D01,51,5102,510220
D01,52,5201,520100
D01,53,5301,530110
D01,53,5302,530210
D01,53,5303,530310
D01,53,5305,530500
D02,6,604,60420
D02,6,604,60490
D02,13,1301,130120
D02,13,1301,130190
D02,40,4001,400130
D02,44,4401,440110
D02,44,4403,440320
D02,44,4403,440341
D02,44,4403,440349
D02,44,4403,440391
D02,44,4403,440392
D02,44,4403,440399
D02,45,4501,450110
D03,1,106,10620
D03,3,301,30111
D03,3,301,30119
D03,3,301,30191
D03,3,301,30192
D03,3,301,30193
D03,3,301,30194
D03,3,301,30195
D03,3,301,30199
D03,3,302,30211
D03,3,302,30213
D03,3,302,30214
D03,3,302,30219
D03,3,302,30221
D03,3,302,30222
D03,3,302,30223
D03,3,302,30224
D03,3,302,30229
D03,3,302,30231
D03,3,302,30232
D03,3,302,30233
D03,3,302,30234
D03,3,302,30235
D03,3,302,30236
D03,3,302,30239
D03,3,302,30241
D03,3,302,30242
D03,3,302,30243
D03,3,302,30244
D03,3,302,30245
D03,3,302,30246
D03,3,302,30247
D03,3,302,30251
D03,3,302,30252
D03,3,302,30253
D03,3,302,30254
D03,3,302,30255
D03,3,302,30256
D03,3,302,30259
D03,3,302,30271
D03,3,302,30272
D03,3,302,30273
D03,3,302,30274
D03,3,302,30279
D03,3,302,30281
D03,3,302,30282
D03,3,302,30283
D03,3,302,30284
D03,3,302,30285
D03,3,302,30289
D03,3,306,30621
D03,3,306,30622
D03,3,306,30624
D03,3,306,30625
D03,3,306,30626
D03,3,306,30627
D03,3,306,30629
D03,3,307,30711
D03,3,307,30719
D03,3,307,30721
D03,3,307,30731
D03,3,307,30741
D03,3,307,30751
D03,3,307,30771
D03,3,307,30781
D03,3,307,30791
D03,3,308,30811
D03,3,308,30821
D03,5,508,50800
D03,12,1212,121221
D03,12,1212,121229
D03,71,7101,710110
D03,71,7101,710121
D05,27,2701,270111
D05,27,2701,270112
D05,27,2701,270119
D05,27,2702,270210
D06,27,2709,270900
D06,27,2711,271111
D06,27,2711,271121
D06,27,2714,271410
D08,25,2501,250100
D08,25,2502,250200
D08,25,2503,250300
D08,25,2504,250410
D08,25,2504,250490
D08,25,2505,250510
D08,25,2505,250590
D08,25,2506,250610
D08,25,2506,250620
D08,25,2507,250700
D08,25,2508,250810
D08,25,2508,250830
D08,25,2508,250840
D08,25,2508,250850
D08,25,2508,250860
D08,25,2508,250870
D08,25,2509,250900
D08,25,2510,251010
D08,25,2510,251020
D08,25,2511,251110
D08,25,2511,251120
D08,25,2512,251200
D08,25,2513,251310
D08,25,2513,251320
D08,25,2514,251400
D08,25,2515,251511
D08,25,2515,251512
D08,25,2515,251520
D08,25,2516,251611
D08,25,2516,251612
D08,25,2516,251620
D08,25,2516,251690
D08,25,2517,251710
D08,25,2517,251720
D08,25,2517,251741
D08,25,2517,251749
D08,25,2518,251810
D08,25,2519,251910
D08,25,2519,251990
D08,25,2520,252010
D08,25,2521,252100
D08,25,2524,252410
D08,25,2524,252490
D08,25,2525,252510
D08,25,2525,252520
D08,25,2525,252530
D08,25,2526,252610
D08,25,2526,252620
D08,25,2528,252800
D08,25,2529,252910
D08,25,2529,252921
D08,25,2529,252922
D08,25,2529,252930
D08,25,2530,253010
D08,25,2530,253020
D08,25,2530,253090
D08,27,2703,270300
D08,27,2714,271490
D08,71,7102,710210
D08,71,7102,710221
D08,71,7102,710231
D08,71,7103,710310
D10,2,201,20110
D10,2,201,20120
D10,2,201,20130
D10,2,202,20210
D10,2,202,20220
D10,2,202,20230
D10,2,203,20311
D10,2,203,20312
D10,2,203,20319
D10,2,203,20321
D10,2,203,20322
D10,2,203,20329
D10,2,204,20410
D10,2,204,20421
D10,2,204,20422
D10,2,204,20423
D10,2,204,20430
D10,2,204,20441
D10,2,204,20442
D10,2,204,20443
D10,2,204,20450
D10,2,205,20500
D10,2,206,20610
D10,2,206,20621
D10,2,206,20622
D10,2,206,20629
D10,2,206,20630
D10,2,206,20641
D10,2,206,20649
D10,2,206,20680
D10,2,206,20690
D10,2,207,20711
D10,2,207,20712
D10,2,207,20713
D10,2,207,20714
D10,2,207,20724
D10,2,207,20725
D10,2,207,20726
D10,2,207,20727
D10,2,207,20741
D10,2,207,20742
D10,2,207,20743
D10,2,207,20744
D10,2,207,20745
D10,2,207,20751
D10,2,207,20752
D10,2,207,20753
D10,2,207,20754
D10,2,207,20755
D10,2,207,20760
D10,2,208,20810
D10,2,208,20830
D10,2,208,20840
D10,2,208,20850
D10,2,208,20860
D10,2,208,20890
